indekss,iela,ielas numurs,novads,pilsēta,pagasts,ciems
LV-1001,Tallinas iela,9,,Rīga,,
LV-1001,Tallinas iela,10,,Rīga,,
LV-1001,Tallinas iela,11,,Rīga,,
LV-1001,Tallinas iela,13,,Rīga,,
LV-1001,Tallinas iela,14,,Rīga,,
LV-1001,Tallinas iela,15,,Rīga,,
LV-1001,Tallinas iela,18,,Rīga,,
LV-1001,Tallinas iela,20,,Rīga,,
LV-1001,Tallinas iela,26,,Rīga,,
LV-1001,Tallinas iela,28,,Rīga,,
LV-1001,Tallinas iela,30,,Rīga,,
LV-1001,Tallinas iela,30A,,Rīga,,
LV-1001,Tallinas iela,32,,Rīga,,
LV-1001,Tallinas iela,34,,Rīga,,
LV-1001,Tallinas iela,36,,Rīga,,
LV-1001,Tallinas iela,36A,,Rīga,,
LV-1001,Tallinas iela,38,,Rīga,,
LV-1001,Tallinas iela,40,,Rīga,,
LV-1001,Tallinas iela,40 k-2,,Rīga,,
LV-1001,Tallinas iela,46,,Rīga,,
LV-1001,Tallinas iela,48,,Rīga,,
LV-1001,Tallinas iela,50,,Rīga,,
LV-1001,Tallinas iela,52,,Rīga,,
LV-1001,Tallinas iela,52A,,Rīga,,
LV-1001,Tērbatas iela,54,,Rīga,,
LV-1001,Tērbatas iela,55,,Rīga,,
LV-1001,Tērbatas iela,56,,Rīga,,
LV-1001,Tērbatas iela,59/61,,Rīga,,
LV-1001,Tērbatas iela,63,,Rīga,,
LV-1001,Tērbatas iela,64,,Rīga,,
LV-1001,Tērbatas iela,65,,Rīga,,
LV-1001,Tērbatas iela,66,,Rīga,,
LV-1001,Tērbatas iela,68,,Rīga,,
LV-1001,Tērbatas iela,68 k-1,,Rīga,,
LV-1001,Tērbatas iela,69,,Rīga,,
LV-1001,Tērbatas iela,71,,Rīga,,
LV-1001,Tērbatas iela,71A,,Rīga,,
LV-1001,Tērbatas iela,73,,Rīga,,
LV-1001,Tērbatas iela,74,,Rīga,,
LV-1001,Tērbatas iela,74A,,Rīga,,
LV-1001,Tērbatas iela,75,,Rīga,,
LV-1001,Tērbatas iela,76,,Rīga,,
LV-1001,Tērbatas iela,76A,,Rīga,,
LV-1001,Tērbatas iela,76B,,Rīga,,
LV-1001,Tērbatas iela,76C,,Rīga,,
LV-1001,Tērbatas iela,78,,Rīga,,
LV-1001,Tērbatas iela,80,,Rīga,,
LV-1001,Tērbatas iela,82,,Rīga,,
LV-1001,Tērbatas iela,82A,,Rīga,,
LV-1001,Tērbatas iela,83,,Rīga,,
LV-1001,Tērbatas iela,83A,,Rīga,,
LV-1001,Tērbatas iela,83B,,Rīga,,
LV-1001,Tērbatas iela,84,,Rīga,,
LV-1001,Tērbatas iela,85,,Rīga,,
LV-1001,Tērbatas iela,86,,Rīga,,
LV-1001,Tērbatas iela,87,,Rīga,,
LV-1001,Tērbatas iela,88,,Rīga,,
LV-1001,Tērbatas iela,90,,Rīga,,
LV-1001,Tērbatas iela,93/95,,Rīga,,
LV-1001,Tērbatas iela,97,,Rīga,,
LV-1001,Tērbatas iela,99,,Rīga,,
LV-1001,Šarlotes iela,1,,Rīga,,
LV-1001,Šarlotes iela,1B,,Rīga,,
LV-1001,Šarlotes iela,1D,,Rīga,,
LV-1001,Šarlotes iela,3,,Rīga,,
LV-1001,Šarlotes iela,5,,Rīga,,
